Users,Repository,Rating,Links
sindresorhus,awesome,"427,094",https://github.com/sindresorhus/awesome
vinta,awesome-python,"276,742",https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,"266,459",https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,"201,025",https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,"161,714",https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,"139,165",https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,"103,796",https://github.com/Hack-with-Github/Awesome-Hacking
papers-we-love,papers-we-love,"102,038",https://github.com/papers-we-love/papers-we-love
jaywcjlove,awesome-mac,"97,242",https://github.com/jaywcjlove/awesome-mac
MunGell,awesome-for-beginners,"81,265",https://github.com/MunGell/awesome-for-beginners
DopplerHQ,awesome-interview-questions,"79,910",https://github.com/DopplerHQ/awesome-interview-questions
enaqx,awesome-react,"71,434",https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,"68,942",https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,"67,544",https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,"65,526",https://github.com/prakhar1989/awesome-courses
sindresorhus,awesome-nodejs,"64,420",https://github.com/sindresorhus/awesome-nodejs
Solido,awesome-flutter,"58,506",https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,"54,956",https://github.com/wasabeef/awesome-android-ui
rust-unofficial,awesome-rust,"54,780",https://github.com/rust-unofficial/awesome-rust
tiimgreen,github-cheat-sheet,"54,427",https://github.com/tiimgreen/github-cheat-sheet
electron,electron,"119,599",https://github.com/electron/electron
puppeteer,puppeteer,"93,199",https://github.com/puppeteer/puppeteer
microsoft,playwright,"80,793",https://github.com/microsoft/playwright
FiloSottile,mkcert,"57,624",https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,"35,300",https://github.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,"29,216",https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,"23,124",https://github.com/ovity/octotree
segment-boneyard,nightmare,"19,973",https://github.com/segment-boneyard/nightmare
gildas-lormeau,SingleFile,"19,910",https://github.com/gildas-lormeau/SingleFile
ChromeDevTools,chrome-devtools-mcp,"18,544",https://github.com/ChromeDevTools/chrome-devtools-mcp
xifangczy,cat-catch,"17,478",https://github.com/xifangczy/cat-catch
GoogleChrome,chrome-extensions-samples,"17,209",https://github.com/GoogleChrome/chrome-extensions-samples
checkly,headless-recorder,"15,227",https://github.com/checkly/headless-recorder
google,WebFundamentals,"13,882",https://github.com/google/WebFundamentals
moonD4rk,HackBrowserData,"13,407",https://github.com/moonD4rk/HackBrowserData
schickling,chromeless,"13,241",https://github.com/schickling/chromeless
MetaMask,metamask-extension,"13,020",https://github.com/MetaMask/metamask-extension
crimx,ext-saladict,"12,933",https://github.com/crimx/ext-saladict
amir1376,ab-download-manager,"12,658",https://github.com/amir1376/ab-download-manager
chromedp,chromedp,"12,613",https://github.com/chromedp/chromedp
realm,SwiftLint,"19,370",https://github.com/realm/SwiftLint
facebook,infer,"15,475",https://github.com/facebook/infer
keploy,keploy,"14,606",https://github.com/keploy/keploy
analysis-tools-dev,static-analysis,"14,289",https://github.com/analysis-tools-dev/static-analysis
