Year,Link
2026,https://www.boxofficemojo.com/year/2026/?ref_=bo_yl_table_1
2025,https://www.boxofficemojo.com/year/2025/?ref_=bo_yl_table_2
2024,https://www.boxofficemojo.com/year/2024/?ref_=bo_yl_table_3
2023,https://www.boxofficemojo.com/year/2023/?ref_=bo_yl_table_4
2022,https://www.boxofficemojo.com/year/2022/?ref_=bo_yl_table_5
2021,https://www.boxofficemojo.com/year/2021/?ref_=bo_yl_table_6
2020,https://www.boxofficemojo.com/year/2020/?ref_=bo_yl_table_7
2019,https://www.boxofficemojo.com/year/2019/?ref_=bo_yl_table_8
2018,https://www.boxofficemojo.com/year/2018/?ref_=bo_yl_table_9
2017,https://www.boxofficemojo.com/year/2017/?ref_=bo_yl_table_10
2016,https://www.boxofficemojo.com/year/2016/?ref_=bo_yl_table_11
2015,https://www.boxofficemojo.com/year/2015/?ref_=bo_yl_table_12
2014,https://www.boxofficemojo.com/year/2014/?ref_=bo_yl_table_13
2013,https://www.boxofficemojo.com/year/2013/?ref_=bo_yl_table_14
2012,https://www.boxofficemojo.com/year/2012/?ref_=bo_yl_table_15
2011,https://www.boxofficemojo.com/year/2011/?ref_=bo_yl_table_16
2010,https://www.boxofficemojo.com/year/2010/?ref_=bo_yl_table_17
2009,https://www.boxofficemojo.com/year/2009/?ref_=bo_yl_table_18
2008,https://www.boxofficemojo.com/year/2008/?ref_=bo_yl_table_19
2007,https://www.boxofficemojo.com/year/2007/?ref_=bo_yl_table_20
2006,https://www.boxofficemojo.com/year/2006/?ref_=bo_yl_table_21
2005,https://www.boxofficemojo.com/year/2005/?ref_=bo_yl_table_22
2004,https://www.boxofficemojo.com/year/2004/?ref_=bo_yl_table_23
2003,https://www.boxofficemojo.com/year/2003/?ref_=bo_yl_table_24
2002,https://www.boxofficemojo.com/year/2002/?ref_=bo_yl_table_25
2001,https://www.boxofficemojo.com/year/2001/?ref_=bo_yl_table_26
2000,https://www.boxofficemojo.com/year/2000/?ref_=bo_yl_table_27
1999,https://www.boxofficemojo.com/year/1999/?ref_=bo_yl_table_28
1998,https://www.boxofficemojo.com/year/1998/?ref_=bo_yl_table_29
1997,https://www.boxofficemojo.com/year/1997/?ref_=bo_yl_table_30
1996,https://www.boxofficemojo.com/year/1996/?ref_=bo_yl_table_31
1995,https://www.boxofficemojo.com/year/1995/?ref_=bo_yl_table_32
1994,https://www.boxofficemojo.com/year/1994/?ref_=bo_yl_table_33
1993,https://www.boxofficemojo.com/year/1993/?ref_=bo_yl_table_34
1992,https://www.boxofficemojo.com/year/1992/?ref_=bo_yl_table_35
1991,https://www.boxofficemojo.com/year/1991/?ref_=bo_yl_table_36
1990,https://www.boxofficemojo.com/year/1990/?ref_=bo_yl_table_37
1989,https://www.boxofficemojo.com/year/1989/?ref_=bo_yl_table_38
1988,https://www.boxofficemojo.com/year/1988/?ref_=bo_yl_table_39
1987,https://www.boxofficemojo.com/year/1987/?ref_=bo_yl_table_40
1986,https://www.boxofficemojo.com/year/1986/?ref_=bo_yl_table_41
1985,https://www.boxofficemojo.com/year/1985/?ref_=bo_yl_table_42
1984,https://www.boxofficemojo.com/year/1984/?ref_=bo_yl_table_43
1983,https://www.boxofficemojo.com/year/1983/?ref_=bo_yl_table_44
1982,https://www.boxofficemojo.com/year/1982/?ref_=bo_yl_table_45
1981,https://www.boxofficemojo.com/year/1981/?ref_=bo_yl_table_46
1980,https://www.boxofficemojo.com/year/1980/?ref_=bo_yl_table_47
1979,https://www.boxofficemojo.com/year/1979/?ref_=bo_yl_table_48
1978,https://www.boxofficemojo.com/year/1978/?ref_=bo_yl_table_49
1977,https://www.boxofficemojo.com/year/1977/?ref_=bo_yl_table_50
